regime,optimizer,seed,lr,wd,eps,step,loss,lr_scheduled,ms,status
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,0,1.404807686805725,3e-05,130.8375015258789,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,50,0.1469140648841858,0.00153,425.4810222387314,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,100,0.08761782199144363,0.003,723.5414711534977,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,150,0.060543470084667206,0.002995389065559004,1015.5893747806549,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,200,0.03771314024925232,0.0029815877595936752,1301.9719341993332,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,250,0.023696167394518852,0.002958690359018096,1588.0358390510082,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,300,0.01874162256717682,0.002926853276295857,1877.1869752407074,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,350,0.020837055519223213,0.0028862939909843274,2165.271614551544,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,400,0.026286687701940536,0.00283728956412876,2452.7958387434483,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,450,0.009198848158121109,0.0027801747456544135,2740.7770222127438,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,500,0.01055501401424408,0.0027153396876851313,3028.797374457121,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,550,0.012342365458607674,0.002643227279408728,3324.1293418705463,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,600,0.011031605303287506,0.0025643301216947507,3613.9807652533054,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,650,0.015512475743889809,0.002479187162131052,3902.8117412924767,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,700,0.012059050612151623,0.0023883800134652765,4281.442238390446,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,750,0.008973791263997555,0.0022925289806000494,4570.108350276947,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,800,0.008955064229667187,0.002192288823281509,4857.977117687464,ok
task_c_alpha_0.3,adamw,2047037706,0.003,0.0001,1e-08,850,0.005569357890635729,0.0020883442834263226,5147.297437399626,ok
