regime,optimizer,seed,lr,wd,eps,step,loss,lr_scheduled,ms,status
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,0,0.3513251841068268,3e-05,144.0491485595703,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,50,0.044133927673101425,0.00153,927.8169894218445,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,100,0.025524437427520752,0.003,1707.3606997132301,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,150,0.010303315706551075,0.002995389065559004,2444.323643684387,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,200,0.009893170557916164,0.0029815877595936752,3177.747292280197,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,250,0.006798234768211842,0.002958690359018096,3912.102013349533,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,300,0.005806420464068651,0.002926853276295857,4646.5378496050835,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,350,0.0028318536933511496,0.0028862939909843274,5379.374010562897,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,400,0.0027238146867603064,0.00283728956412876,6112.919610261917,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,450,0.0030364671256393194,0.0027801747456544135,6947.709050357342,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,500,0.002388633554801345,0.0027153396876851313,7686.410747289658,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,550,0.0020264636259526014,0.002643227279408728,8422.4819496274,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,600,0.00230308435857296,0.0025643301216947507,9164.738205969334,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,650,0.0016632511978968978,0.002479187162131052,9901.185887515545,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,700,0.0019653686322271824,0.0023883800134652765,10637.428063452244,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,750,0.0012866206234320998,0.0022925289806000494,11374.091520190239,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,800,0.0010321747977286577,0.002192288823281509,12110.932127058506,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,850,0.0008652931428514421,0.0020883442834263226,12846.205821216106,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,900,0.0012791503686457872,0.001981405407640079,13582.95577454567,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,950,0.0013186668511480093,0.0018722026968789908,14318.07196688652,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1000,0.0007076109177432954,0.0017614821163876488,15053.780832886696,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1050,0.0008691264665685594,0.0016500000000000002,15789.45683169365,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1100,0.0008378805941902101,0.0015385178836123514,16525.313059270382,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1150,0.0006977804587222636,0.0014277973031210092,17263.104580044746,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1200,0.0006315812352113426,0.0013185945923599213,17997.832548081875,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1250,0.0005300589255057275,0.0012116557165736776,18735.315169751644,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1300,0.00044137853546999395,0.0011077111767184916,19475.998656511307,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1350,0.0003477590798866004,0.0010074710193999506,20213.693507492542,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1400,0.00029558621463365853,0.0009116199865347242,20950.77539539337,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1450,0.0006441334262490273,0.0008208128378689485,21689.137316048145,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1500,0.0003405953466426581,0.0007356698783052499,22425.71926856041,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1550,0.00024308946740347892,0.0006567727205912723,23163.805093467236,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1600,0.00029811024433001876,0.0005846603123148688,23901.996801912785,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1650,0.00024483411107212305,0.0005198252543455865,24638.553924679756,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1700,0.0002096065873047337,0.00046271043587123995,25375.772194862366,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1750,0.00019418289593886584,0.0004137060090156724,26114.33830612898,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1800,0.0002086101594613865,0.00037314672370414325,26852.336194455624,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1850,0.00017588537593837827,0.00034130964098190404,27589.83722138405,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1900,0.00016385082562919706,0.0003184122404063249,28327.9429191947,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1950,0.00015961237659212202,0.00030461093444099574,29068.230218172073,ok
task_b_kappa_1000,adamw,2047037706,0.003,0.0001,1e-08,1999,0.00015762106340844184,0.00030000184542422524,29793.990059256554,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,0,0.3513251841068268,3e-05,53.844993114471436,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,50,0.041523050516843796,0.00153,2055.370306968689,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,100,0.024024320766329765,0.003,4195.903143405914,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,150,0.009431831538677216,0.002995389065559004,6295.885542392731,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,200,0.008212513290345669,0.0029815877595936752,8391.067521572113,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,250,0.007729589473456144,0.002958690359018096,10488.843546390533,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,300,0.004751426167786121,0.002926853276295857,12583.793251514435,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,350,0.004041086416691542,0.0028862939909843274,14676.501251220703,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,400,0.002654843032360077,0.00283728956412876,16769.700256347656,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,450,0.0031936783343553543,0.0027801747456544135,18864.868992328644,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,500,0.002568698488175869,0.0027153396876851313,20961.63798713684,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,550,0.0015883833402767777,0.002643227279408728,23056.18345451355,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,600,0.0017606820911169052,0.0025643301216947507,25158.661534309387,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,650,0.0018120354507118464,0.002479187162131052,27254.49186515808,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,700,0.0015601612394675612,0.0023883800134652765,29351.876254081726,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,750,0.0013640773249790072,0.0022925289806000494,31447.49129676819,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,800,0.0011670684907585382,0.002192288823281509,33543.736891269684,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,850,0.0009588978136889637,0.0020883442834263226,35636.79775285721,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,900,0.001202985760755837,0.001981405407640079,37730.277334690094,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,950,0.001231727423146367,0.0018722026968789908,39824.26216650009,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1000,0.0006442576996050775,0.0017614821163876488,41918.483481407166,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1050,0.0006655469769611955,0.0016500000000000002,44010.911544799805,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1100,0.0007920886273495853,0.0015385178836123514,46106.175070762634,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1150,0.0008550861966796219,0.0014277973031210092,48200.377368450165,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1200,0.0005932245985604823,0.0013185945923599213,50295.5951924324,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1250,0.0005837546777911484,0.0012116557165736776,52391.05244064331,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1300,0.0003756156365852803,0.0011077111767184916,54490.52533483505,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1350,0.0003483998589217663,0.0010074710193999506,56593.20402097702,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1400,0.00041021397919394076,0.0009116199865347242,58688.02478313446,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1450,0.0003396823303773999,0.0008208128378689485,60789.38295459747,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1500,0.00033057425753213465,0.0007356698783052499,62883.35191631317,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1550,0.0002654849085956812,0.0006567727205912723,64978.74881505966,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1600,0.0002794660103973001,0.0005846603123148688,67075.38152360916,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1650,0.0002213789412053302,0.0005198252543455865,69174.45911836624,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1700,0.00019955882453359663,0.00046271043587123995,71268.78890991211,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1750,0.00021569729142356664,0.0004137060090156724,73365.04251050949,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1800,0.00019740208517760038,0.00037314672370414325,75459.86506557465,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1850,0.0001782025647116825,0.00034130964098190404,77555.71716403961,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1900,0.00015838594117667526,0.0003184122404063249,79653.06071996689,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1950,0.00015898804122116417,0.00030461093444099574,81754.10737133026,ok
task_b_kappa_1000,spectral,2047037706,0.003,0.0001,1e-08,1999,0.00015809912292752415,0.00030000184542422524,83809.63805294037,ok
