regime,optimizer,seed,lr,wd,eps,step,loss,lr_scheduled,ms,status
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,0,0.3513251841068268,1e-06,194.12371444702148,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,50,0.2666628360748291,5.1000000000000006e-05,934.4744970202446,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,100,0.0899934917688369,0.0001,1668.6508228182793,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,150,0.0277337189763784,9.984630218530014e-05,2400.9608729481697,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,200,0.0275571402162313,9.938625865312252e-05,3133.7703401446342,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,250,0.0120468856766819,9.862301196726987e-05,3867.692803800106,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,300,0.0059844437055289,9.756177587652856e-05,4603.374726474285,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,350,0.0045909867621958,9.62097996994776e-05,5337.311657071114,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,400,0.0041501722298562,9.4576318804292e-05,6073.157738208771,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,450,0.003432109253481,9.26724915218138e-05,6909.563531577587,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,500,0.003568643471226,9.051132292283772e-05,7644.602188944817,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,550,0.0024438393302261,8.810757598029093e-05,8380.069901227951,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,600,0.0032806571107357,8.547767072315835e-05,9119.390028119087,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,650,0.0025182773824781,8.263957207103507e-05,9855.320682287216,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,700,0.0019879781175404,7.961266711550922e-05,10591.466087818146,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,750,0.0023125584702938,7.641763268666831e-05,11328.483753442764,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,800,0.0016844583442434,7.307629410938363e-05,12063.762762188911,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,850,0.0014667938230559,6.961147611421075e-05,12798.71684485674,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,900,0.0016436573350802,6.604684692133597e-05,13536.978987038136,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,950,0.0017200916772708,6.240675656263303e-05,14272.89367800951,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,1000,0.00118637108244,5.8716070546254966e-05,15009.111057460308,ok
task_b_kappa_1000,adamw,2047037706,0.0001,0.0,1e-08,1050,0.0011556923855096,5.500000000000001e-05,15745.126610636711,ok
