regime,optimizer,seed,lr,wd,eps,step,loss,lr_scheduled,ms,status
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,0,2.3025853633880615,3e-05,201.6593894958496,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,50,0.5065966844558716,0.00153,721.2483803033829,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,100,0.49031975865364075,0.003,1238.2509404420853,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,150,0.4181777238845825,0.002995389065559004,1757.1987479925156,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,200,0.48414701223373413,0.0029815877595936752,2273.9638661146164,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,250,0.4277260899543762,0.002958690359018096,2793.831930756569,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,300,0.4502878785133362,0.002926853276295857,3311.959962964058,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,350,0.3906211853027344,0.0028862939909843274,3828.5957384109497,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,400,0.37675291299819946,0.00283728956412876,4345.102138757706,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,450,0.3727770149707794,0.0027801747456544135,4899.505464196205,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,500,0.3488427996635437,0.0027153396876851313,5453.827701449394,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,550,0.33829253911972046,0.002643227279408728,6006.817395925522,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,600,0.4112941026687622,0.0025643301216947507,6548.710482001305,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,650,0.28002965450286865,0.002479187162131052,7070.031218409538,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,700,0.3125446140766144,0.0023883800134652765,7591.890002250671,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,750,0.3205726146697998,0.0022925289806000494,8113.4690408706665,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,800,0.32444053888320923,0.002192288823281509,8634.756591439247,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,850,0.2528756856918335,0.0020883442834263226,9156.250572681427,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,900,0.2696789503097534,0.001981405407640079,9677.097004532814,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,950,0.30046993494033813,0.0018722026968789908,10203.902346491814,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,1000,0.2664525508880615,0.0017614821163876488,10726.382345438004,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,1050,0.2696635127067566,0.0016500000000000002,11249.247049570084,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,1100,0.218221515417099,0.0015385178836123514,11773.031177639961,ok
task_a_fashion_mnist,adamw,2047037706,0.003,0.0001,1e-08,1150,0.3435377776622772,0.0014277973031210092,12297.490471243858,ok
